Designator,Mid X,Mid Y,Rotation,Layer
_8980,172.830165,-122.28,0.0,top
_8979,173.030165,-122.28,0.0,top
_8978,173.030165,-122.28,0.0,top
_8977,174.930165,-122.28,0.0,top
_8976,174.930165,-122.28,0.0,top
_8975,174.730165,-122.28,0.0,top
_8974,170.570165,-122.28,0.0,top
_8973,174.930165,-122.28,0.0,top
_8972,170.770165,-122.28,0.0,top
_8971,170.570165,-122.28,0.0,top
_8970,170.770165,-122.28,90.0,bottom
_8969,170.770165,-122.28,0.0,top
_8968,170.770165,-122.28,0.0,top
_8967,170.770165,-122.28,0.0,top
_8966,170.770165,-122.28,0.0,top
_8965,170.770165,-122.28,90.0,bottom
_8964,170.770165,-122.28,0.0,top
_8963,167.910165,-122.28,0.0,top
_8962,167.910165,-122.28,0.0,top
_8961,167.710165,-122.28,0.0,top
_8960,167.910165,-122.28,0.0,top
_8959,167.910165,-122.28,90.0,bottom
_8958,167.910165,-122.28,0.0,top
_8957,167.710165,-122.28,0.0,top
_8956,167.910165,-122.28,0.0,top
_8955,168.110165,-122.28,0.0,top
_8954,167.910165,-122.28,90.0,bottom
_8953,167.710165,-122.28,0.0,top
_8952,167.710165,-122.28,90.0,bottom
_8951,167.910165,-122.28,0.0,top
_8950,167.910165,-122.28,0.0,top
_8949,167.710165,-122.28,0.0,top
_8948,167.710165,-122.28,0.0,top
_8947,169.510165,-122.28,0.0,top
_8946,167.710165,-122.28,0.0,top
_8945,169.310165,-122.28,0.0,top
_8944,167.710165,-122.28,0.0,top
_8943,167.710165,-122.28,0.0,top
_8942,167.510165,-122.28,0.0,top
_8941,167.710165,-122.28,90.0,bottom
_8940,167.710165,-122.28,0.0,top
_8939,169.510165,-122.28,0.0,top
_8938,169.310165,-122.28,90.0,bottom
_8937,169.310165,-122.28,0.0,top
_8936,167.910165,-122.28,0.0,top
_8935,167.510165,-122.28,90.0,bottom
_8934,167.910165,-122.28,0.0,top
_8933,169.310165,-122.28,90.0,bottom
_8932,169.310165,-122.28,0.0,top
