Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT_2460,1,2460,
"C1, C2",0805,2,100nF,
"C3, C7",0805,2,1uF,
"C4, C5, C6",0805,3,22uF,
D1,0201,1,LED,
F1,FUS_MF-R075_BRN,1,MF-R075,
J1,SAMESKY_UJ20-C-H-G-SMT-1-P16-TR,1,UJ20-C-H-G-SMT-1-P16-TR,
J2,JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,1,Conn_01x02,
L1,R_Bare_Metal_Element_L21.3mm_W4.8mm_P20.30mm,1,1uH,
R1,1206,1,1M,
"R10, R4, R5",1206,3,10K,
R11,1206,1,560K,
R12,1206,1,100K,
"R2, R3",1206,2,56K,
R6,0603,1,62K +- 1%,
R7,1206,1,1K,
R8,1206,1,24K,
R9,R_Bare_Metal_Element_L21.3mm_W4.8mm_P20.30mm,1,103AT-2,
U1,IC_BQ25172DSGR,1,BQ25172DSGR,
U2,QFN-11_MP28164_MNP,1,MP28164GD-Z,
